Center Longitude,Center Latitude,Classification
218.417,-6.687,Crater Floor
239.646,19.673,Crater Floor
240.926,21.052,Crater Floor
241.367,21.000,Crater Floor
241.283,20.605,Crater Floor
241.425,19.591,Crater Floor
242.452,20.265,Crater Floor
242.909,19.452,Crater Floor
139.053,21.005,Crater Floor
137.718,20.322,Crater Floor
45.703,33.695,Crater Floor
10.929,5.720,Crater Floor
247.226,-45.198,Crater Floor
215.846,-9.631,Bright Ejecta
221.342,-4.387,Bright Ejecta
215.560,-3.741,Bright Ejecta
214.343,-0.364,Bright Ejecta
188.029,9.703,Bright Ejecta
158.597,9.877,Bright Ejecta
146.203,10.984,Bright Ejecta
141.333,15.609,Bright Ejecta
133.891,14.275,Bright Ejecta
146.120,18.035,Bright Ejecta
132.485,18.157,Bright Ejecta
130.140,20.320,Bright Ejecta
128.512,27.140,Bright Ejecta
95.981,25.554,Bright Ejecta
11.564,4.009,Bright Ejecta
8.441,6.467,Bright Ejecta
40.542,34.851,Bright Ejecta
0.755,42.930,Bright Ejecta
358.617,42.293,Bright Ejecta
67.015,26.889,Bright Ejecta
359.369,44.377,Bright Ejecta
356.513,41.082,Bright Ejecta
311.442,38.128,Bright Ejecta
185.501,22.442,Bright Ejecta
115.547,-7.154,Bright Ejecta
172.956,-39.281,Bright Ejecta
166.683,-36.024,Bright Ejecta
315.016,-30.256,Bright Ejecta
313.068,-30.290,Bright Ejecta
308.251,-28.115,Bright Ejecta
307.477,-30.415,Bright Ejecta
310.405,-30.124,Bright Ejecta
297.477,-25.305,Bright Ejecta
331.395,35.455,Bright Ejecta
310.411,0.126,Bright Ejecta
200.874,36.147,Bright Ejecta
198.517,33.559,Bright Ejecta
309.418,1.842,Bright Ejecta
236.331,14.917,Bright Ejecta
316.185,-10.325,Ahuna Mons
137.858,17.952,Rim/Wall
318.167,8.199,Rim/Wall
228.959,-7.466,Rim/Wall
217.037,-8.454,Rim/Wall
191.291,10.896,Rim/Wall
139.363,18.550,Rim/Wall
135.449,22.031,Rim/Wall
139.513,23.851,Rim/Wall
137.455,24.554,Rim/Wall
132.032,26.268,Rim/Wall
134.099,26.554,Rim/Wall
134.595,27.025,Rim/Wall
136.210,29.574,Rim/Wall
140.045,29.404,Rim/Wall
